Province_Number,Political_Subdivision_Segment,Projected_Longitude,Projected_Latitude,Unprojected_Latitude_Radians,Unprojected_Longitude/Radians
45,1,3958.65,3218.04,0.23283,0.72657
45,1,3960.86,3216.41,0.23277,0.72665
45,1,3962.64,3214.48,0.23271,0.7267
45,1,3964.84,3213,0.23266,0.72678
45,1,3966.62,3211.08,0.2326,0.72683
45,1,3968.39,3209.15,0.23254,0.72689
45,1,3970.6,3207.67,0.23249,0.72697
45,1,3972.37,3205.75,0.23242,0.72702
45,1,3974.58,3204.12,0.23237,0.7271
45,1,3976.35,3202.19,0.23231,0.72715
45,1,3978.56,3200.71,0.23226,0.72723
45,1,3980.33,3198.78,0.2322,0.72729
45,1,3982.39,3197.16,0.23214,0.72735
45,1,3984.31,3195.38,0.23208,0.72742
45,1,3986.38,3193.75,0.23203,0.72748
45,1,3988.59,3192.12,0.23198,0.72756
45,1,3990.8,3190.64,0.23193,0.72763
45,1,3992.57,3188.71,0.23187,0.72769
45,1,3994.78,3187.09,0.23181,0.72776
45,1,3996.84,3185.61,0.23176,0.72783
45,1,3999.05,3183.98,0.23171,0.7279
45,1,4001.26,3182.5,0.23166,0.72797
45,1,4003.03,3180.57,0.2316,0.72803
45,1,4005.25,3179.09,0.23155,0.7281
45,1,4007.46,3177.46,0.2315,0.72818
45,1,4009.52,3175.98,0.23145,0.72825
45,1,4011.73,3174.35,0.2314,0.72832
45,1,4013.5,3172.43,0.23133,0.72838
45,1,4015.71,3170.8,0.23128,0.72845
45,1,4017.92,3169.32,0.23123,0.72852
45,1,4020.13,3167.69,0.23118,0.72859
45,1,4022.2,3166.21,0.23113,0.72866
45,1,4023.97,3164.28,0.23107,0.72872
45,1,4026.18,3162.8,0.23102,0.72879
45,1,4027.95,3160.88,0.23095,0.72885
45,1,4029.73,3158.95,0.23089,0.72891
45,1,4031.94,3157.32,0.23084,0.72898
45,1,4033.71,3155.4,0.23078,0.72904
45,1,4035.48,3153.47,0.23071,0.7291
45,1,4037.26,3151.69,0.23065,0.72916
45,1,4039.18,3149.77,0.23059,0.72922
