household_id,household_id2,rural,pw_w3,saq01,saq03,saq06,saq08,hh_s6aq0a,hh_s6aq01,hh_s6aq02
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,91,Charcoal,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,91,Firewood,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,91,Kerosene,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,91,"Cigarettes, tobacco, suret, ga",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,91,Transport,1,5
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,91,House rent,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,Matches,1,4
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,Batteries,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,"Candles, incense",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,Laundry soap,1,30
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,Hand soap,1,3
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,Other personal care goods,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,Charcoal,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,Firewood,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,Kerosene,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,"Cigarettes, tobacco, suret, ga",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,Transport,1,50
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,106,House rent,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,121,Matches,1,4
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,121,Batteries,1,18
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,121,"Candles, incense",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,121,Laundry soap,1,25
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,121,Hand soap,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,121,Other personal care goods,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,121,Charcoal,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,121,Firewood,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,121,Kerosene,1,70
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,121,"Cigarettes, tobacco, suret, ga",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,121,Transport,1,70
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,121,House rent,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,Matches,1,1
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,Batteries,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,"Candles, incense",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,Laundry soap,1,15
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,Hand soap,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,Other personal care goods,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,Charcoal,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,Firewood,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,Kerosene,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,"Cigarettes, tobacco, suret, ga",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,Transport,1,100
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,136,House rent,2,
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,4,Matches,1,2
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,4,Batteries,2,
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,4,"Candles, incense",2,
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,4,Laundry soap,1,30
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,4,Hand soap,1,8
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,4,Other personal care goods,2,
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,4,Charcoal,2,
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,4,Firewood,2,
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,4,Kerosene,2,
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,4,"Cigarettes, tobacco, suret, ga",2,
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,4,Transport,2,
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,4,House rent,2,
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,16,Matches,1,4
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,16,Batteries,2,
1.0103E+12,1.0103E+16,2,1352.426758,1,3,1,16,"Candles, incense",1,3
